ID,NAME,FPl,Layer,SubLayer,PosX,PosY,PosZ,TUCal,TUOff,TUSlw,QUCal,QUPed,TDCal,TDOff,TDSlw,QDCal,QDPed,DTCal,DTOff,TAveOff,tu_det,tu_geo,tu_ch,td_det,td_geo,td_ch,qu_geo,qu_ch,qd_geo,qd_ch,is_tref,is_hpc,id_hpc,Ignore
82,322,13,4,1,668.6,0,10405.95,0.0976591,-10,0,0.0449788,56.9176,0.0976592,0,0,0.0479975,88.5508,7.103880,6.772070,0,44,13,38,44,13,54,27,6,27,22,0,0,0,0
83,323,13,4,1,791,0,10405.95,0.097659,-10,0,0.0484712,57.2172,0.0976589,0,0,0.0485378,78.0945,7.354400,7.783210,0,44,13,39,44,13,55,27,7,27,23,0,0,0,0
84,324,13,4,1,913.4,0,10405.95,0.0976591,-10,0,0.0459452,40.1717,0.0976593,0,0,0.0483894,94.9736,7.499480,1.457950,0,44,13,40,44,13,56,27,8,27,24,0,0,0,0
85,325,13,4,1,1035.8,0,10405.95,0.0976592,-10,0,0.0467001,56.3318,0.0976591,0,0,0.0479156,93.8303,7.580440,3.206920,0,44,13,41,44,13,57,27,9,27,25,0,0,0,0
86,326,13,4,1,1158.2,0,10405.95,0.0976592,-10,0,0.0462374,57.2286,0.0976592,0,0,0.0454496,68.7954,6.999010,7.191350,0,44,13,42,44,13,58,27,10,27,26,0,0,0,0
87,327,13,4,1,1280.6,0,10405.95,0.0976592,-10,0,0.0454724,64.6699,0.097659,0,0,0.0464625,73.5147,7.361420,2.229800,0,44,13,43,44,13,59,27,11,27,27,0,0,0,0
88,328,13,4,1,1403,0,10405.95,0.0976591,-10,0,0.0464715,69.0374,0.0976589,0,0,0.0530481,75.6202,7.131830,6.099970,0,44,13,44,44,13,60,27,12,27,28,0,0,0,0
89,329,13,4,1,1525.4,0,10405.95,0.0976592,-10,0,0.050193,57.5543,0.0976592,0,0,0.049708,75.5763,7.130150,-0.253574,0,44,13,45,44,13,61,27,13,27,29,0,0,0,0
90,330,13,4,1,1647.8,0,10405.95,0.0976593,-10,0,0.0448495,39.6918,0.0976593,0,0,0.0488631,67.1372,6.983170,11.801100,0,44,13,46,44,13,62,27,14,27,30,0,0,0,0
91,401,13,4,2,-1901.8,0,10525.95,0.0976592,-10,0,0.0501285,78.8281,0.0976594,0,0,0.0513302,109.362,7.350750,9.191770,0,44,13,64,44,13,80,28,0,28,16,0,0,0,0
92,402,13,4,2,-1779.4,0,10525.95,0.0976592,-10,0,0.0478176,61.8305,0.0976589,0,0,0.0496212,129.016,7.480450,9.366430,0,44,13,65,44,13,81,28,1,28,17,0,0,0,0
93,403,13,4,2,-1657,0,10525.95,0.0976593,-10,0,0.0457455,79.4317,0.0976591,0,0,0.0493312,100.746,7.076130,7.299570,0,44,13,66,44,13,82,28,2,28,18,0,0,0,0
94,404,13,4,2,-1534.6,0,10525.95,0.0976592,-10,0,0.0484056,52.1089,0.097659,0,0,0.0446845,114.927,7.839140,6.590760,0,44,13,67,44,13,83,28,3,28,19,0,0,0,0
95,405,13,4,2,-1412.2,0,10525.95,0.0976592,-10,0,0.0488406,80.4163,0.0976592,0,0,0.0531659,121.254,7.558470,12.108600,0,44,13,68,44,13,84,28,4,28,20,0,0,0,0
96,406,13,4,2,-1289.8,0,10525.95,0.0976592,-10,0,0.0500615,71.5965,0.0976592,0,0,0.0481206,119.744,7.692180,9.572970,0,44,13,69,44,13,85,28,5,28,21,0,0,0,0
97,407,13,4,2,-1167.4,0,10525.95,0.0976591,-10,0,0.0489736,80.1969,0.0976595,0,0,0.0522144,114.689,6.948380,3.686270,0,44,13,70,44,13,86,28,6,28,22,0,0,0,0
98,408,13,4,2,-1045,0,10525.95,0.0976592,-10,0,0.0463582,59.576,0.0976592,0,0,0.0524351,116.657,6.850180,5.019300,0,44,13,71,44,13,87,28,7,28,23,0,0,0,0
99,409,13,4,2,-922.6,0,10525.95,0.0976591,-10,0,0.04572,55.2553,0.0976585,0,0,0.0490749,89.1304,7.062920,-0.469149,0,44,13,72,44,13,88,28,8,28,24,0,0,0,0
100,410,13,4,2,-800.2,0,10525.95,0.0976591,-10,0,0.0460919,62.9223,0.0976597,0,0,0.0502158,90.9295,7.174440,4.174770,0,44,13,73,44,13,89,28,9,28,25,0,0,0,0
101,411,13,4,2,-677.8,0,10525.95,0.097659,-10,0,0.0478503,79.265,0.0976585,0,0,0.0462684,106.362,7.177570,6.715410,0,44,13,74,44,13,90,28,10,28,26,0,0,0,0
102,412,13,4,2,-555.4,0,10525.95,0.097659,-10,0,0.0453635,49.0187,0.0976592,0,0,0.0466139,71.0692,7.230630,8.878330,0,44,13,79,44,13,95,28,15,28,31,0,0,0,0
103,413,13,4,2,-433,0,10525.95,0.0976591,-10,0,0.0516129,76.9762,0.0976596,0,0,0.0492187,104.034,7.150910,5.813110,0,44,13,76,44,13,92,28,12,28,28,0,0,0,0
104,414,13,4,2,-310.6,0,10525.95,0.0976592,-10,0,0.0489518,59.7024,0.0976595,0,0,0.041607,92.0124,7.252130,6.096310,0,44,13,77,44,13,93,28,13,28,29,0,0,0,0
105,415,13,4,2,-188.2,0,10525.95,0.0976595,-10,0,0.0472335,55.7195,0.0976595,0,0,0.0510791,101.97,7.441370,9.723440,0,44,13,78,44,13,94,28,14,28,30,0,0,0,0
106,416,13,4,2,-65.8,0,10525.95,0.0976585,-10,0,0.047867,63.2841,0.0976591,10,0,0.0464066,64.4159,6.942100,10.317300,0,44,13,111,42,12,111,29,15,29,31,0,0,0,0
107,417,13,4,2,56.6,0,10525.95,0.0976584,-10,0,0.0484521,58.9457,0.0976596,10,0,0.0491565,63.5075,7.098720,27.356600,0,44,13,97,42,12,97,29,1,29,17,0,0,0,0
108,418,13,4,2,179,0,10525.95,0.0976585,-10,0,0.0448003,70.4686,0.0976593,10,0,0.0477717,73.8426,7.221690,24.721000,0,44,13,98,42,12,98,29,2,29,18,0,0,0,0
109,419,13,4,2,301.4,0,10525.95,0.0976584,-10,0,0.0468039,54.7097,0.0976589,10,0,0.0512292,81.2842,6.930820,32.254500,0,44,13,99,42,12,99,29,3,29,19,0,0,0,0
110,420,13,4,2,423.8,0,10525.95,0.0976583,-10,0,0.0474623,93.8305,0.0976586,10,0,0.0471194,61.2889,7.506230,32.846300,0,44,13,100,42,12,100,29,4,29,20,0,0,0,0
111,421,13,4,2,546.2,0,10525.95,0.0976587,-10,0,0.0439229,78.8846,0.0976591,10,0,0.048687,80.8367,7.087730,36.955500,0,44,13,101,42,12,101,29,5,29,21,0,0,0,0
112,422,13,4,2,668.6,0,10525.95,0.0976589,-10,0,0.0412801,93.6978,0.0976589,10,0,0.0468318,100.121,7.353710,33.998900,0,44,13,102,42,12,102,29,6,29,22,0,0,0,0
113,423,13,4,2,791,0,10525.95,0.0976588,-10,0,0.0435228,81.099,0.0976591,10,0,0.0473066,83.0197,7.124480,24.128400,0,44,13,103,42,12,103,29,7,29,23,0,0,0,0
114,424,13,4,2,913.4,0,10525.95,0.0976585,-10,0,0.0474843,44.4429,0.0976588,10,0,0.0489192,75.26,7.110240,32.960000,0,44,13,104,42,12,104,29,8,29,24,0,0,0,0
115,425,13,4,2,1035.8,0,10525.95,0.0976585,-10,0,0.0467299,45.9564,0.0976589,10,0,0.0486696,80.8265,7.269300,28.422100,0,44,13,105,42,12,105,29,9,29,25,0,0,0,0
116,426,13,4,2,1158.2,0,10525.95,0.0976584,-10,0,0.043597,55.0831,0.0976595,10,0,0.047435,70.7454,7.834150,36.161100,0,44,13,106,42,12,106,29,10,29,26,0,0,0,0
117,427,13,4,2,1280.6,0,10525.95,0.0976585,-10,0,0.0465661,53.6321,0.0976587,10,0,0.0490891,84.4823,7.718470,42.750000,0,44,13,107,42,12,107,29,11,29,27,0,0,0,0
118,428,13,4,2,1403,0,10525.95,0.0976586,-10,0,0.0438555,61.0113,0.0976587,10,0,0.0490732,80.6415,7.302370,29.317900,0,44,13,108,42,12,108,29,12,29,28,0,0,0,0
119,429,13,4,2,1525.4,0,10525.95,0.0976582,-10,0,0.0489732,77.1772,0.0976592,10,0,0.0443544,65.2272,7.153690,25.512400,0,44,13,109,42,12,109,29,13,29,29,0,0,0,0
120,430,13,4,2,1647.8,0,10525.95,0.0976585,-10,0,0.0470634,97.398,0.0976591,10,0,0.0440506,56.2807,6.817960,29.032700,0,44,13,110,42,12,110,29,14,29,30,0,0,0,0
121,V101,13,3,0,-1832,0,11493.72,0.0976598,0,0,1,102.331,0.0976594,0,0,1,82.2416,1,0,0,42,12,32,42,12,48,25,0,25,16,0,0,0,0
122,V102,13,3,0,-1522,0,11508.72,0.09766,0,0,1,117.36,0.0976594,0,0,1,91.4157,1,0,0,42,12,33,42,12,49,25,1,25,17,0,0,0,0
123,V103,13,3,0,-1212,0,11493.72,0.0976596,0,0,1,108.724,0.0976593,0,0,1,79.2888,1,0,0,42,12,34,42,12,50,25,2,25,18,0,0,0,0
124,V104,13,3,0,-902,0,11508.72,0.09766,0,0,1,103.584,0.097659,0,0,1,82.2552,1,0,0,42,12,35,42,12,51,25,3,25,19,0,0,0,0
125,V105,13,3,0,-592,0,11493.72,0.0976594,0,0,1,141.414,0.0976599,0,0,1,99.2629,1,0,0,42,12,36,42,12,52,25,4,25,20,0,0,0,0
126,V106,13,3,0,-282,0,11508.72,0.0976595,0,0,1,144.735,0.0976592,0,0,1,97.9655,1,0,0,42,12,37,42,12,53,25,5,25,21,0,0,0,0
127,V107,13,3,0,28,0,11493.72,0.0976596,0,0,1,144.396,0.0976597,0,0,1,106.333,1,0,0,42,12,38,42,12,54,25,6,25,22,0,0,0,0
128,V108,13,3,0,338,0,11508.72,0.0976601,0,0,1,143.971,0.0976587,0,0,1,102.993,1,0,0,42,12,39,42,12,55,25,7,25,23,0,0,0,0
129,V109,13,3,0,648,0,11493.72,0.0976593,0,0,1,125.304,0.0976592,0,0,1,96.0657,1,0,0,42,12,45,42,12,56,25,13,25,24,0,0,0,0
130,V110,13,3,0,958,0,11508.72,0.0976595,0,0,1,104.693,0.0976591,0,0,1,94.9581,1,0,0,42,12,47,42,12,57,25,15,25,25,0,0,0,0
131,V111,13,3,0,1268,0,11493.72,0.0976593,0,0,1,109.071,0.0976597,0,0,1,112.897,1,0,0,42,12,46,42,12,58,25,14,25,26,0,0,0,0
132,V112,13,3,0,1578,0,11508.72,0.0976594,0,0,1,137.414,0.0976593,0,0,1,110.567,1,0,0,42,12,44,42,12,59,25,12,25,27,0,0,0,0
133,V201,13,4,0,-1832,0,12339.72,0.0976596,0,0,1,105.86,0.0976596,0,0,1,108.523,1,0,0,42,12,64,42,12,80,30,0,30,16,0,0,0,0
134,V202,13,4,0,-1522,0,12354.72,0.0976595,0,0,1,132.534,0.0976594,0,0,1,116.484,1,0,0,42,12,65,42,12,81,30,1,30,17,0,0,0,0
135,V203,13,4,0,-1212,0,12339.72,0.0976596,0,0,1,117.953,0.0976597,0,0,1,116.965,1,0,0,42,12,66,42,12,82,30,2,30,18,0,0,0,0
136,V204,13,4,0,-902,0,12354.72,0.0976593,0,0,1,102.94,0.0976597,0,0,1,108.678,1,0,0,42,12,67,42,12,83,30,3,30,19,0,0,0,0
137,V205,13,4,0,-592,0,12339.72,0.0976594,0,0,1,103.625,0.0976595,0,0,1,133.437,1,0,0,42,12,68,42,12,84,30,4,30,20,0,0,0,0
138,V206,13,4,0,-282,0,12354.72,0.0976596,0,0,1,102.952,0.0976593,0,0,1,127.117,1,0,0,42,12,69,42,12,85,30,5,30,21,0,0,0,0
139,V207,13,4,0,28,0,12339.72,0.0976593,0,0,1,110.142,0.0976593,0,0,1,141.37,1,0,0,42,12,70,42,12,86,30,6,30,22,0,0,0,0
140,V208,13,4,0,338,0,12354.72,0.0976595,0,0,1,105.862,0.0976594,0,0,1,119.413,1,0,0,42,12,71,42,12,87,30,7,30,23,0,0,0,0
141,V209,13,4,0,648,0,12339.72,0.0976593,0,0,1,114.488,0.0976593,0,0,1,128.549,1,0,0,42,12,72,42,12,88,30,8,30,24,0,0,0,0
142,V210,13,4,0,958,0,12354.72,0.0976594,0,0,1,96.3922,0.0976594,0,0,1,117.109,1,0,0,42,12,73,42,12,89,30,9,30,25,0,0,0,0
143,V211,13,4,0,1268,0,12339.72,0.0976596,0,0,1,127.791,0.0976594,0,0,1,138.018,1,0,0,42,12,74,42,12,90,30,10,30,26,0,0,0,0
144,V212,13,4,0,1578,0,12354.72,0.0976593,0,0,1,107.184,0.097659,0,0,1,121.884,1,0,0,42,12,75,42,12,91,30,11,30,27,0,0,0,0
145,Tref1,13,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,42,11,112,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
146,Tref2,13,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,42,12,112,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
147,Tref3,13,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,44,13,112,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
148,HPC1,13,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,44,14,96,-1,-1,-1,-1,-1,-1,-1,0,1,1,0
149,HPC2,13,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,44,14,97,-1,-1,-1,-1,-1,-1,-1,0,1,2,0
150,HPC3,13,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,44,14,98,-1,-1,-1,-1,-1,-1,-1,0,1,3,0
151,HPC4,13,2,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,44,14,99,-1,-1,-1,-1,-1,-1,-1,0,1,4,0
152,HPC5,13,2,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,44,14,100,-1,-1,-1,-1,-1,-1,-1,0,1,5,0
153,HPC6,13,2,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,44,14,101,-1,-1,-1,-1,-1,-1,-1,0,1,6,0
154,HPC7,13,2,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,44,14,102,-1,-1,-1,-1,-1,-1,-1,0,1,7,0
155,HPC8,13,3,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,44,14,103,-1,-1,-1,-1,-1,-1,-1,0,1,8,0
156,HPC9,13,3,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,44,14,104,-1,-1,-1,-1,-1,-1,-1,0,1,9,0
157,HPC10,13,4,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,44,14,105,-1,-1,-1,-1,-1,-1,-1,0,1,10,0
158,HPC11,13,4,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,44,14,106,-1,-1,-1,-1,-1,-1,-1,0,1,11,0
159,HPC12,13,4,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,44,14,107,-1,-1,-1,-1,-1,-1,-1,0,1,12,0
160,HPC13,13,4,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,44,14,108,-1,-1,-1,-1,-1,-1,-1,0,1,13,0
161,HPC14,13,5,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,44,14,109,-1,-1,-1,-1,-1,-1,-1,0,1,14,0
162,HPC15,13,5,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,44,14,110,-1,-1,-1,-1,-1,-1,-1,0,1,15,0
163,HPC16,13,5,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,44,14,111,-1,-1,-1,-1,-1,-1,-1,0,1,16,0
164,Tref4,13,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,44,14,112,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
165,V301,13,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,44,14,0,44,14,1,-1,-1,-1,-1,0,0,0,0
166,V302,13,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,44,14,2,44,14,3,-1,-1,-1,-1,0,0,0,0
167,V303,13,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,44,14,4,44,14,5,-1,-1,-1,-1,0,0,0,0
168,V304,13,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,44,14,6,44,14,7,-1,-1,-1,-1,0,0,0,0
169,V305,13,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,44,14,8,44,14,9,-1,-1,-1,-1,0,0,0,0
170,V306,13,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,44,14,10,44,14,11,-1,-1,-1,-1,0,0,0,0
171,V307,13,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,44,14,12,44,14,13,-1,-1,-1,-1,0,0,0,0
172,V308,13,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,44,14,14,44,14,15,-1,-1,-1,-1,0,0,0,0
173,V309,13,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,44,14,16,44,14,17,-1,-1,-1,-1,0,0,0,0
174,V310,13,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,44,14,18,44,14,19,-1,-1,-1,-1,0,0,0,0
175,V401,13,2,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,44,14,20,44,14,21,-1,-1,-1,-1,0,0,0,0
176,V402,13,2,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,44,14,22,44,14,23,-1,-1,-1,-1,0,0,0,0
177,V403,13,2,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,44,14,24,44,14,25,-1,-1,-1,-1,0,0,0,0
178,V404,13,2,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,44,14,26,44,14,27,-1,-1,-1,-1,0,0,0,0
179,V405,13,2,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,44,14,28,44,14,29,-1,-1,-1,-1,0,0,0,0
180,V406,13,2,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,44,14,30,44,14,31,-1,-1,-1,-1,0,0,0,0
181,V407,13,2,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,44,14,32,44,14,33,-1,-1,-1,-1,0,0,0,0
182,V408,13,2,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,44,14,34,44,14,35,-1,-1,-1,-1,0,0,0,0
183,V409,13,2,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,44,14,36,44,14,37,-1,-1,-1,-1,0,0,0,0
184,V410,13,2,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,44,14,38,44,14,39,-1,-1,-1,-1,0,0,0,0
185,SBT1,13,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,42,11,113,-1,-1,-1,-1,-1,-1,-1,1,0,0,0
186,SBT2,13,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,42,12,113,-1,-1,-1,-1,-1,-1,-1,1,0,0,0
187,SBT3,13,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,44,13,113,-1,-1,-1,-1,-1,-1,-1,1,0,0,0
188,SBT4,13,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,44,14,113,-1,-1,-1,-1,-1,-1,-1,1,0,0,0
