NAME,FPl,Layer,SubLayer,Direction,PosX,PosY,PosZ,T_LECal0,T_LECal1,T_LEOffset0,T_LEOffset1,T_TECal0,T_TECal1,T_TEOffset0,T_TEOffset1,QCal0,QCal1,QOffset0,QOffset1,t0_geo,t0_ch,t1_geo,t1_ch,Ignore
X1,13,1,1,V,514.25,0,1494,0.1,0.1,-1.00115,1.00115,0.1,0.1,-1.00115,1.00115,1,1,0,0,0,0,0,32,0
X2,13,1,1,V,453.75,0,1494,0.1,0.1,-0.41045,0.01565,0.1,0.1,-0.41045,0.01565,1,1,0,0,0,3,0,35,0
X3,13,1,1,V,393.25,0,1494,0.1,0.1,-0.2377,0.4707,0.1,0.1,-0.2377,0.4707,1,1,0,0,0,6,0,38,0
X4,13,1,1,V,332.75,0,1494,0.1,0.1,-1.1893,1.1829,0.1,0.1,-1.1893,1.1829,1,1,0,0,0,9,0,41,0
X5,13,1,1,V,272.25,0,1494,0.1,0.1,-0.0307,0.3129,0.1,0.1,-0.0307,0.3129,1,1,0,0,0,12,0,44,0
X6,13,1,1,V,211.75,0,1494,0.1,0.1,-0.3593,0.7499,0.1,0.1,-0.3593,0.7499,1,1,0,0,0,15,0,47,0
X7,13,1,1,V,151.25,0,1494,0.1,0.1,-0.94775,0.21135,0.1,0.1,-0.94775,0.21135,1,1,0,0,0,1,0,33,0
X8,13,1,1,V,90.75,0,1494,0.1,0.1,-1.3151,-0.0419,0.1,0.1,-1.3151,-0.0419,1,1,0,0,0,4,0,36,0
X9,13,1,1,V,30.25,0,1494,0.1,0.1,-0.8153,0.0461,0.1,0.1,-0.8153,0.0461,1,1,0,0,0,7,0,39,0
X10,13,1,1,V,-30.25,0,1494,0.1,0.1,-0.55725,0.83065,0.1,0.1,-0.55725,0.83065,1,1,0,0,0,10,0,42,0
X11,13,1,1,V,-90.75,0,1494,0.1,0.1,-0.6556,0.2354,0.1,0.1,-0.6556,0.2354,1,1,0,0,0,13,0,45,0
X12,13,1,1,V,-151.25,0,1494,0.1,0.1,-0.8482,1.0918,0.1,0.1,-0.8482,1.0918,1,1,0,0,0,16,0,48,0
X13,13,1,1,V,-211.75,0,1494,0.1,0.1,-0.6012,0.4686,0.1,0.1,-0.6012,0.4686,1,1,0,0,0,2,0,34,0
X14,13,1,1,V,-272.25,0,1494,0.1,0.1,-1.2634,0.2848,0.1,0.1,-1.2634,0.2848,1,1,0,0,0,5,0,37,0
X15,13,1,1,V,-332.75,0,1494,0.1,0.1,-0.49325,0.29805,0.1,0.1,-0.49325,0.29805,1,1,0,0,0,8,0,40,0
X16,13,1,1,V,-393.25,0,1494,0.1,0.1,-0.71005,0.76665,0.1,0.1,-0.71005,0.76665,1,1,0,0,0,11,0,43,0
X17,13,1,1,V,-453.75,0,1494,0.1,0.1,-0.36815,0.74555,0.1,0.1,-0.36815,0.74555,1,1,0,0,0,14,0,46,0
X18,13,1,1,V,-514.25,0,1494,0.1,0.1,-1.0067,1.1921,0.1,0.1,-1.0067,1.1921,1,1,0,0,0,17,0,49,0
Y1,13,2,1,H,0,332.75,1544,0.1,0.1,-112.83845,-109.16155,0.1,0.1,-112.83845,-109.16155,1,1,0,0,0,18,0,50,0
Y2,13,2,1,H,0,272.25,1544,0.1,0.1,-110.85875,-111.26725,0.1,0.1,-110.85875,-111.26725,1,1,0,0,0,20,0,52,0
Y3,13,2,1,H,0,211.75,1544,0.1,0.1,-112.1229,-109.2611,0.1,0.1,-112.1229,-109.2611,1,1,0,0,0,22,0,54,0
Y4,13,2,1,H,0,151.25,1544,0.1,0.1,-39.03555,-37.12665,0.1,0.1,-39.03555,-37.12665,1,1,0,0,0,24,0,56,0
Y5,13,2,1,H,0,90.75,1544,0.1,0.1,-40.1205,-36.7663,0.1,0.1,-40.1205,-36.7663,1,1,0,0,0,26,0,58,0
Y6,13,2,1,H,0,30.25,1544,0.1,0.1,-39.88305,-37.00595,0.1,0.1,-39.88305,-37.00595,1,1,0,0,0,28,0,60,0
Y7,13,2,1,H,0,-30.25,1544,0.1,0.1,-39.5612,-38.0282,0.1,0.1,-39.5612,-38.0282,1,1,0,0,0,19,0,51,0
Y8,13,2,1,H,0,-90.25,1544,0.1,0.1,-38.5467,-39.2033,0.1,0.1,-38.5467,-39.2033,1,1,0,0,0,21,0,53,0
Y9,13,2,1,H,0,-151.25,1544,0.1,0.1,-38.89,-38.3524,0.1,0.1,-38.89,-38.3524,1,1,0,0,0,23,0,55,0
Y10,13,2,1,H,0,-211.75,1544,0.1,0.1,-111.4108,-109.8432,0.1,0.1,-111.4108,-109.8432,1,1,0,0,0,25,0,57,0
Y11,13,2,1,H,0,-272.25,1544,0.1,0.1,-111.4797,-110.3703,0.1,0.1,-111.4797,-110.3703,1,1,0,0,0,27,0,59,0
Y12,13,2,1,H,0,-332.75,1544,0.1,0.1,-112.1752,-110.6728,0.1,0.1,-112.1752,-110.6728,1,1,0,0,0,29,0,61,0
DUM,13,2,1,H,0,0,0,0.1,0.1,0,0,0.1,0.1,0,0,1,1,0,0,0,127,0,122,1